회계연도,지출목,지출세목,중앙관서,회계,계정,분야,부문,프로그램,단위사업,세부사업,내역사업,예산현액(천원),교부액(천원),집행액(천원),교부율(%25),집행률(%25)
"2024","민간이전","민간경상보조","경찰청","일반회계"," ","공공질서및안전","경찰","경찰행정지원","치안행정업무지원","경무인사지원","수사교통민원 보조활동","1918000","1918000","1863911","100.0","97.2"
"2024","민간이전","민간경상보조","고용노동부","고등·평생교육지원특별회계"," ","사회복지","고용","직업능력개발","한국폴리텍대학출연","한국폴리텍대학운영지원(BTL정부지급금)","한국폴리텍대학운영지원(BTL)","11693000","11352009","11352009","97.1","100.0"
"2024","민간이전","민간경상보조","고용노동부","고등·평생교육지원특별회계"," ","사회복지","고용","직업능력개발","한국기술교육대학교출연","한국기술교육대학교운영지원(BTL정부지급금)","한국기술교육대학교운영지원(BTL)","1080000","1061314","1061314","98.3","100.0"
"2024","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","고용창출","고용보험징수관리","고용보험적용부과지원","보험사무대행기관지원금","13902000","13902000","13563299","100.0","97.6"
"2024","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","사업주능력개발지원금","사업주직업훈련지원금","현장맞춤형체계적훈련","4757000","4757000","4644913","100.0","97.6"
"2024","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","중소기업능력개발지원","국가인적자원개발컨소시엄지원","산업맞춤형","71000000","71000000","64428149","100.0","90.7"
"2024","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","중소기업능력개발지원","국가인적자원개발컨소시엄지원","하이테크형","40000000","40000000","28268271","100.0","70.7"
"2024","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","중소기업능력개발지원","국가인적자원개발컨소시엄지원","대중소상생 아카데미","12200000","12200000","5366279","100.0","44.0"
"2024","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","한국산업인력공단능력개발사업지원","산업현장일학습병행지원","일학습병행 공동훈련센터","83855000","83855000","63081442","100.0","75.2"
"2024","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","한국산업인력공단능력개발사업지원","산업현장일학습병행지원","외국인 유학생 일학습병행","0","0","0","0","0"
"2024","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","한국폴리텍대학능력개발사업지원","기능인력양성및장비확충(폴리텍)","기능인력양성및장비확충(폴리텍)","4163000","3860000","3563656","92.7","92.3"
"2024","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","고용평등증진","일·가정양립지원","고용안정장려금","출산육아기 고용안정 지원(대체인력뱅크)","3000000","2994846","2988234","99.8","99.8"
"2024","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","고용평등증진","일·가정양립지원","직장어린이집지원","직장어린이집지원","13354000","6618860","7748104","49.6","117.1"
"2024","민간이전","민간경상보조","고용노동부","산업재해보상보험및예방기금"," ","사회복지","노동","산재보험","산재보험료징수관리","산재보험 적용부과지원","산재보험적용부과지원","15618000","15618000","15544958","100.0","99.5"
"2024","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","대학일자리플러스센터(민경보)","36952600","36952600","36521944","100.0","98.8"
"2024","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","대학일자리플러스센터(대학 재학생 맞춤형 고용서비스)","37027400","37005150","36005319","99.9","97.3"
"2024","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","대학일자리플러스센터(고교 재학생 맞춤형 고용서비스)","5600000","5600000","5140175","100.0","91.8"
"2024","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","해외취업지원","해외 K-Move 센터 운영","3800000","3800000","3092194","100.0","81.4"
"2024","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","해외취업지원","글로벌취업상담회","400000","400000","384387","100.0","96.1"
"2024","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","청년취업진로 및 일경험 지원","청년친화형 기업 ESG 지원사업","0","0","0","0","0"
"2024","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","청년취업진로 및 일경험 지원","청년 일경험 지원 ","156270000","156241997","142358246","100.0","91.1"
"2024","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","취약계층취업촉진","경력단절여성취업지원","집단상담프로그램운영(민간새일센터)","8409000","8398395","8173065","99.9","97.3"
"2024","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","직업능력개발","실업자등능력개발지원","미래유망분야 고졸인력 양성","미래유망분야 고졸인력 양성","10698000","10698000","10662837","100.0","99.7"
"2024","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용안전망확충","일자리안정자금지원","일자리안정자금지원","일자리안정자금지원","211000","147700","0","70.0","0.0"
"2024","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용평등증진","모성보호육아지원","고용보험 미적용자 출산급여","고용보험 미적용자 출산급여(고용부)","17301000","17271900","17271900","99.8","100.0"
"2024","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용평등증진","중장년층취업지원","중장년층취업지원","중장년내일센터","15737000","15737000","14846169","100.0","94.3"
