회계연도,지출목,지출세목,중앙관서,회계,계정,분야,부문,프로그램,단위사업,세부사업,내역사업,예산현액(천원),교부액(천원),집행액(천원),교부율(%25),집행률(%25)
"2025","민간이전","민간경상보조","경찰청","일반회계"," ","공공질서및안전","경찰","경찰행정지원","치안행정업무지원","경무인사지원","수사교통민원 보조활동","1950000","1950000","1809342","100.0","92.8"
"2025","민간이전","민간경상보조","고용노동부","고등·평생교육지원특별회계"," ","사회복지","고용","직업능력개발","한국폴리텍대학출연","한국폴리텍대학운영지원(BTL정부지급금)","한국폴리텍대학운영지원(BTL)","13177000","12874566","12874566","97.7","100.0"
"2025","민간이전","민간경상보조","고용노동부","고등·평생교육지원특별회계"," ","사회복지","고용","직업능력개발","한국기술교육대학교출연","한국기술교육대학교운영지원(BTL정부지급금)","한국기술교육대학교운영지원(BTL)","1129000","1083305","1083305","96.0","100.0"
"2025","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","고용창출","고용보험징수관리","고용보험적용부과지원","보험사무대행기관지원금","15102000","15102000","13746140","100.0","91.0"
"2025","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","사업주능력개발지원금","사업주직업훈련지원금","현장맞춤형체계적훈련","1365000","1365000","1266102","100.0","92.8"
"2025","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","중소기업능력개발지원","국가인적자원개발컨소시엄지원","산업맞춤형","71225000","71225000","65212978","100.0","91.6"
"2025","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","중소기업능력개발지원","국가인적자원개발컨소시엄지원","하이테크형","38000000","38000000","35558626","100.0","93.6"
"2025","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","중소기업능력개발지원","국가인적자원개발컨소시엄지원","대중소상생 아카데미","18300000","18300000","9465091","100.0","51.7"
"2025","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","한국산업인력공단능력개발사업지원","산업현장일학습병행지원","일학습병행 공동훈련센터","73346000","66542200","58439619","90.7","87.8"
"2025","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","한국폴리텍대학능력개발사업지원","기능인력양성및장비확충(폴리텍)","기능인력양성및장비확충(폴리텍)","4899000","4549000","3922748","92.9","86.2"
"2025","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","고용평등증진","일·가정양립지원","고용안정장려금","출산육아기 고용안정 지원(대체인력뱅크)","3000000","2999800","2989936","100.0","99.7"
"2025","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","고용평등증진","일·가정양립지원","직장어린이집지원","직장어린이집지원","11424000","11340170","10825688","99.3","95.5"
"2025","민간이전","민간경상보조","고용노동부","산업재해보상보험및예방기금"," ","사회복지","노동","산재보험","산재보험료징수관리","산재보험 적용부과지원","산재보험적용부과지원","17386000","17386000","14420218","100.0","82.9"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","대학일자리플러스센터(민경보)","35600000","35182400","34814008","98.8","99.0"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","대학일자리플러스센터(대학 재학생 맞춤형 고용서비스)","44640000","44374000","43921225","99.4","99.0"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","대학일자리플러스센터(고교 재학생 맞춤형 고용서비스)","8400000","8400000","8270055","100.0","98.5"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","대학일자리플러스센터(졸업생 특화프로그램 민경보)","14120000","13753880","13454678","97.4","97.8"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","해외취업지원","해외 K-Move 센터 운영","3800000","3800000","2831243","100.0","74.5"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","해외취업지원","글로벌취업상담회","360000","360000","220992","100.0","61.4"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","청년취업진로 및 일경험 지원","청년 일경험 지원 ","197565000","196773847","178264559","99.6","90.6"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","청년미래플러스","청년미래플러스","1950000","1950000","1925251","100.0","98.7"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","직업능력개발","실업자등능력개발지원","미래유망분야 고졸인력 양성","미래유망분야 고졸인력 양성","12092000","12092000","12064404","100.0","99.8"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용안전망확충","일자리안정자금지원","일자리안정자금지원","일자리안정자금지원","86000","60200","25838","70.0","42.9"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용평등증진","모성보호육아지원","고용보험 미적용자 출산급여","고용보험 미적용자 출산급여(고용부)","34103000","32982100","32982100","96.7","100.0"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용평등증진","중장년층취업지원","중장년층취업지원","중장년내일센터","18343000","18343000","17523388","100.0","95.5"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사협력","미조직근로자지원","노동약자 일터개선 지원","0","0","0","0","0"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사협력","미조직근로자지원","노동약자 상생 복지지원","0","0","0","0","0"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사협력","노동약자지원","불법·부당 노동관행 등 개선 지원(영세사업장 HR플랫폼 이용 지원)","900000","883045","857456","98.1","97.1"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사협력","노동약자지원","노동약자 일터개선 지원(민간경상보조)","649000","500697","446168","77.1","89.1"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사협력","노동약자지원","노동약자 상생 복지지원","6532000","4177250","4171750","64.0","99.9"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사발전재단지원","노사발전재단지원","노사상생협력 교육 지원","91000","91000","91000","100.0","100.0"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사발전재단지원","노사발전재단지원","글로벌노사관계지원(구_노동분야 국제교류협력 지원)","400000","400000","400000","100.0","100.0"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사발전재단지원","노사발전재단지원","노사발전재단 인건비 지원","15691000","15691000","15691000","100.0","100.0"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사발전재단지원","노사발전재단지원","노사발전재단 경상비 지원","4057000","4057000","4056641","100.0","100.0"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사발전재단지원","노사발전재단지원","미조직 근로자를 위한 노사협의회 구축 및 활성화 지원","100000","100000","100000","100.0","100.0"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사발전재단지원","노사발전재단지원","정보화시스템 통합유지보수","220000","220000","220000","100.0","100.0"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","일터혁신 상생컨설팅 지원","일터혁신 상생컨설팅","총괄관리 ","500000","500000","500000","100.0","100.0"
"2025","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","근로조건보호및복지증진","근로조건보호","고용상 차별개선지원","비정규직 근로조건 보호 지원","0","0","0","0","0"
"2025","민간이전","민간경상보조","공정거래위원회","일반회계"," ","일반·지방행정","일반행정","소비자후생 증진","소비자권익증진 지원","소비자권익증진 지원","자율분쟁조정위원회 운영 지원","189000","189000","189000","100.0","100.0"
"2025","민간이전","민간경상보조","과학기술정보통신부","과학기술진흥기금"," ","과학기술","과학기술인력및문화","과학기술인력양성","과학기술인력지원","우수과학자포상","우수과학자포상(한국과학상/공학상)","330000","330000","329754","100.0","99.9"
"2025","민간이전","민간경상보조","과학기술정보통신부","과학기술진흥기금"," ","과학기술","과학기술인력및문화","과학기술인력양성","과학기술인력지원","우수과학자포상","우수과학자포상(이달의과학기술인상/젊은과학자상)","365000","365000","362940","100.0","99.4"
"2025","민간이전","민간경상보조","과학기술정보통신부","과학기술진흥기금"," ","과학기술","과학기술인력및문화","과학기술인력양성","과학기술인력지원","우수과학자포상","우수과학자포상(대한민국 엔지니어상)","190000","190000","190000","100.0","100.0"
"2025","민간이전","민간경상보조","과학기술정보통신부","과학기술진흥기금"," ","과학기술","과학기술인력및문화","과학기술인력양성","과학기술인력지원","우수과학자포상","우수과학자포상(IR52장영실상)","82000","82000","82000","100.0","100.0"
"2025","민간이전","민간경상보조","과학기술정보통신부","과학기술진흥기금"," ","과학기술","과학기술인력및문화","과학기술인력양성","과학기술인력지원","우수과학자포상","우수과학자포상(대한민국최고과학기술인상)","323000","323000","322979","100.0","100.0"
"2025","민간이전","민간경상보조","과학기술정보통신부","과학기술진흥기금"," ","과학기술","과학기술인력및문화","과학기술인력양성","과학기술인력지원","우수과학자포상","우수과학자포상(올해의과학교사상)","167000","167000","167000","100.0","100.0"
"2025","민간이전","민간경상보조","과학기술정보통신부","과학기술진흥기금"," ","과학기술","과학기술인력및문화","과학기술인력양성","과학기술인력지원","우수과학자포상","우수과학자포상(올해의여성과학기술인상)","44000","44000","44000","100.0","100.0"
"2025","민간이전","민간경상보조","과학기술정보통신부","과학기술진흥기금"," ","과학기술","과학기술인력및문화","과학기술인력양성","과학기술인력지원","우수과학자포상","우수과학자포상(우수과학도상)","67000","67000","64132","100.0","95.7"
