회계연도,지출목,지출세목,중앙관서,회계,계정,분야,부문,프로그램,단위사업,세부사업,내역사업,예산현액(천원),교부액(천원),집행액(천원),교부율(%25),집행률(%25)
"2026","민간이전","민간경상보조","경찰청","일반회계"," ","공공질서및안전","경찰","경찰행정지원","치안행정업무지원","경무인사지원","수사교통민원 보조활동","2005000","1503750","905867","75.0","60.2"
"2026","민간이전","민간경상보조","고용노동부","고등·평생교육지원특별회계"," ","사회복지","고용","직업능력개발","한국폴리텍대학출연","한국폴리텍대학운영지원(BTL정부지급금)","한국폴리텍대학운영지원(BTL)","13673000","6987639","6987639","51.1","100.0"
"2026","민간이전","민간경상보조","고용노동부","고등·평생교육지원특별회계"," ","사회복지","고용","직업능력개발","한국기술교육대학교출연","한국기술교육대학교운영지원(BTL정부지급금)","한국기술교육대학교운영지원(BTL)","1152000","551178","551178","47.8","100.0"
"2026","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","고용창출","고용보험징수관리","고용보험적용부과지원","보험사무대행기관지원금","12917000","10000000","10000000","77.4","100.0"
"2026","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","사업주능력개발지원금","사업주직업훈련지원금","현장맞춤형체계적훈련","4230000","4230000","940092","100.0","22.2"
"2026","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","중소기업능력개발지원","국가인적자원개발컨소시엄지원","하이테크형","35600000","35600000","10425668","100.0","29.3"
"2026","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","중소기업능력개발지원","국가인적자원개발컨소시엄지원","산업맞춤형","59285000","59285000","21932773","100.0","37.0"
"2026","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","한국산업인력공단능력개발사업지원","산업현장일학습병행지원","일학습병행 공동훈련센터","68516000","51387000","20991705","75.0","40.9"
"2026","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","한국폴리텍대학능력개발사업지원","기능인력양성및장비확충(폴리텍)","기능인력양성및장비확충(폴리텍)","4978000","3910000","2252145","78.5","57.6"
"2026","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","고용평등증진","일·가정양립지원","고용안정장려금","출산육아기 고용안정 지원(대체인력뱅크)","3000000","1641615","1183607","54.7","72.1"
"2026","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","고용평등증진","일·가정양립지원","직장어린이집지원","직장어린이집 설치지원","7450000","3193630","1708120","42.9","53.5"
"2026","민간이전","민간경상보조","고용노동부","산업재해보상보험및예방기금"," ","사회복지","노동","산재보험","산재보험료징수관리","산재보험 적용부과지원","산재보험적용부과지원","15118000","12000000","12000000","79.4","100.0"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","대학일자리플러스센터(민경보)","35600000","35600000","10789963","100.0","30.3"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","대학일자리플러스센터(대학 재학생 맞춤형 고용서비스)","37780000","37780000","12285196","100.0","32.5"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","대학일자리플러스센터(고교 재학생 맞춤형 고용서비스)","8400000","8400000","2781827","100.0","33.1"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","대학일자리플러스센터(졸업생 특화프로그램 민경보)","14120000","14088360","3953192","99.8","28.1"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","대학일자리플러스센터(구직단념청년 지원체계 운영)","6000000","6000000","1091475","100.0","18.2"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","청년지원센터 또래지원단","590000","414500","15654","70.3","3.8"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","해외취업지원","해외 K-Move 센터 운영","3528000","3528000","2329694","100.0","66.0"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","해외취업지원","글로벌취업상담회","350000","350000","275198","100.0","78.6"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","청년취업진로 및 일경험 지원","청년 일경험 지원 ","200600000","136745686","57904367","68.2","42.3"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","청년취업진로 및 일경험 지원","사회적가치형 청년일경험 지원","3500000","2450000","0","70.0","0.0"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","취약계층취업촉진","경력단절여성취업지원","집단상담프로그램운영(민간새일센터)","0","0","0","0","0"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","직업능력개발","실업자등능력개발지원","미래유망분야 고졸인력 양성","미래유망분야 고졸인력 양성","11542000","8656500","6707562","75.0","77.5"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용안전망확충","일자리안정자금지원","일자리안정자금지원","일자리안정자금지원","39000","27300","2903","70.0","10.6"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용안전망확충","국민취업지원제도","국민취업지원제도(일반)","국민취업지원제도 청년지원단","1500000","1050000","441179","70.0","42.0"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용평등증진","고용평등환경개선","고용평등환경개선지원","고용평등상담실 운영(민간)","450000","450000","199845","100.0","44.4"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용평등증진","중장년층취업지원","중장년층취업지원","중장년내일이음패키지","21434000","19600231","10376210","91.4","52.9"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사협력","상생협력 확산지원","임금·복지 격차 완화 프로젝트(상생복지 재원 조성)","0","0","0","0","0"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사협력","취약노동자지원","취약노동자 보호(영세사업장 인사노무관리체계 구축지원)","900000","892000","320694","99.1","36.0"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사협력","취약노동자지원","취약노동자 일터개선 지원(민간경상보조)","374000","148158","139871","39.6","94.4"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사협력","취약노동자지원","노동단체 지원","3680000","2576293","1620650","70.0","62.9"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사협력","취약노동자지원","노사관계 비영리법인 지원","1800000","1318950","737589","73.3","55.9"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사발전재단지원","노사발전재단지원","노사상생협력 교육 지원","91000","91000","34115","100.0","37.5"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사발전재단지원","노사발전재단지원","글로벌노사관계지원(구_노동분야 국제교류협력 지원)","400000","400000","62976","100.0","15.7"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사발전재단지원","노사발전재단지원","노사발전재단 인건비 지원","16370000","12277500","8388647","75.0","68.3"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사발전재단지원","노사발전재단지원","노사발전재단 경상비 지원","5176000","5059000","3560779","97.7","70.4"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사발전재단지원","노사발전재단지원"," 근로자를 위한 노사협의회 구축 및 활성화 지원","100000","100000","3938","100.0","3.9"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사발전재단지원","노사발전재단지원","정보화시스템 통합유지보수","220000","220000","108800","100.0","49.5"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","노사발전재단지원","노사발전재단지원","상생파트너십 종합지원사업 ","2900000","2900000","452368","100.0","15.6"
"2026","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","노동","노사정책","일터혁신 상생컨설팅 지원","일터혁신 상생컨설팅","사업운영비(구. 총괄관리 )","500000","500000","139158","100.0","27.8"
"2026","민간이전","민간경상보조","고용노동부","지역균형발전특별회계","지역지원계정","사회복지","고용","고용창출","지역고용촉진지원","지역산업맞춤형일자리지원","격차 완화 운영지원","2000000","1300000","485038","65.0","37.3"
"2026","민간이전","민간경상보조","공정거래위원회","일반회계"," ","일반·지방행정","일반행정","소비자후생 증진","소비자권익증진 지원","소비자권익증진 지원","자율분쟁조정위원회 운영 지원","189000","135908","100990","71.9","74.3"
"2026","민간이전","민간경상보조","과학기술정보통신부","과학기술진흥기금"," ","과학기술","과학기술인력및문화","과학기술인력양성","과학기술인력지원","우수과학자포상","우수과학자포상(대한민국과학상/공학상)","330000","43000","8143","13.0","18.9"
