순번,관할시군,운행업체명,노선번호,노선ID,기점,기점정류장ID,종점,종점정류장ID,저상버스운행유무,데이터기준일자
5789,고양시,고양-보은교통,21,241314001,화정역3호선,218000974,행신역,218000463,N,20230221
5790,고양시,고양-보은교통,20,241314002,화정역3호선,218000974,영흥빌라,218001006,N,20230221
5791,고양시,고양-명보교통,72,241325001,능곡역.능곡시장,218000193,산황동입구,219001083,N,20230221
5792,고양시,고양-관산운수,36,241293003,벽제관지,218001211,오미산주유소,219000101,N,20230221
5793,고양시,고양-관산운수,37,241293004,그린씨티동문아파트,229000473,삼송역8번출구,218001200,N,20230221
5794,고양시,고양-관산운수,58,241293005,동문3차아파트,219000813,빛마루.이비에스,219001076,N,20230221
5795,고양시,고양-관산운수,59,241293006,마을회관,219000293,대화역,219000366,N,20230221
5796,고양시,고양-관산운수,88,241293007,내유동커뮤니티센터,218001347,삼송역8번출구,218001200,N,20230221
5797,고양시,고양-한진교통,60,241294002,소만마을1.2.3단지,218001032,화정역3호선,218001046,N,20230221
5798,고양시,고양-백마운수,38,241295703,둥지마을.베송쥬쥬,219001082,화정역3호선,218001046,N,20230221
5799,고양시,고양-백마운수,50,241295704,필리핀참전비,218000826,일산동구청(중),219000356,N,20230221
5800,고양시,고양-백마운수,10,241295707,약산마을,219000303,빛마루.이비에스,219001075,N,20230221
5801,고양시,고양-백마운수,39,241295708,위시티1단지후문.양일초교,219001031,현대백화점,219000625,N,20230221
5802,고양시,고양-대림교통,65,241298003,서정마을2단지,218001072,화정역3호선,218001046,N,20230221
5803,고양시,고양-대화교통,63,241299001,대화역회차(경유),277104412,장월,219000799,N,20230221
5804,고양시,고양-대화교통,57,241299002,가좌마을.킴스.벽산A516동,219000565,일산동구청(중),219000356,N,20230221
5805,고양시,고양-대화교통,62,241299003,더샵그라비스타.이마트킨텍스점,219000913,송포초교,219000434,N,20230221
5806,고양시,고양-대화교통,056(도촌),241299704,도촌,219000860,백신초교,219000165,N,20230221
5807,고양시,고양-대화교통,056(멱절),241299705,멱절,219001089,백신초교,219000165,N,20230221
5808,고양시,고양-대화교통,056(서촌),241299706,서촌,219000828,백신초교,219000165,N,20230221
5809,고양시,고양-대화교통,61,241299708,GS자이아파트후문,219000951,일산동구청(중),219000356,N,20230221
5810,고양시,고양-동일운수,18,241304002,원당역,218001083,산장아파트,218000906,N,20230221
5811,고양시,고양-동일운수,12,241304005,관산주공아파트,218001049,원당역,218001083,N,20230221
5812,고양시,고양-동일운수,16,241304006,세기마을입구,218000891,화정역3호선,218001046,N,20230221
5813,고양시,고양-동일운수,13,241304707,원당역,218001083,원신4통,218000886,N,20230221
5814,고양시,고양-주원교통,077A,241306001,삼송마을11단지.대학생연합생활관,218001324,지축역,218000952,N,20230221
5815,고양시,고양-주원교통,077B,241306002,삼송역6번출구,218000627,사기막골,218000251,N,20230221
5816,고양시,고양-주원교통,76,241306702,원신동행정복지센터(마을),218000856,세원마을입구,218000214,N,20230221
5817,고양시,고양-주원교통,93,241306703,신원마을1.2단지,218001210,신원마을1.2단지,218001210,N,20230221
5818,고양시,고양-주원교통,94,241306704,삼송역6번출구,218000627,오금동종점,218001164,N,20230221
5819,고양시,고양-자안운수,11,241308701,나루터,218000033,화정역3호선,218001046,N,20230221
5820,고양시,고양-신일산교통,66,241309001,차고지,219000829,냉천초등학교,219000539,N,20230221
5821,고양시,고양-신일산운수,68,241309702,청궁오리집,219000814,일산동구청.퀸타운호텔,219000956,N,20230221
5822,고양시,고양-신일산운수,69,241309703,SK주유소,219000960,능곡역,218000520,N,20230221
5823,고양시,고양-신일산운수,90,241310001,차고지,219000829,하늘마을3단지,219000597,N,20230221
5824,고양시,고양-신일산운수,91,241310002,기점대기(경유),277103897,일산에듀포레푸르지오후문,219001147,N,20230221
5825,고양시,고양-신일산운수,92,241310003,일산에듀포레푸르지오후문,219001147,탄현역2번출구,219000772,N,20230221
5826,고양시,고양-신일산운수,95,241310004,고양종합운동장.일산서구청,219000450,강선마을(중),219000192,N,20230221
5827,고양시,고양-보람운수,32,241312001,화정역3호선,218000974,무원고교,218000086,N,20230221
5828,고양시,고양-보람운수,35,241312008,행신역,218000463,원당역,218000282,N,20230221
5829,고양시,고양-보람운수,30,241312013,강고산,218001026,화정역3번출구,218001359,N,20230221
5830,고양시,고양-보람운수,022A,241312014,마을회관,218001003,행신초등학교,218000089,N,20230221
5831,고양시,고양-보람운수,23,241312015,서정마을6.9단지,218001201,화정역3호선,218000974,N,20230221
5832,고양시,고양-보람운수,024A,241312016,행신역,218000463,원흥역8번출구.방송통신대앞,218000698,N,20230221
5833,고양시,고양-보람운수,024B,241312017,행신역,218000463,원흥역8번출구.방송통신대앞,218000698,N,20230221
5834,고양시,고양-보람운수,022B,241312018,덕은LH1단지.DMC한강숲중흥S클래스,218000600,DMC해링턴플레이스,218001361,N,20230221
5835,고양시,고양-화정교통,27,241313001,화정역4번출구,218001149,2단지관리사무실앞,218000743,N,20230221
5836,고양시,고양-화정교통,28,241313002,화정역4번출구,218001149,달빛마을1단지분수대앞,218000742,N,20230221
5837,고양시,고양-화정교통,029A,241313003,명지병원,218000992,화정역3호선,218001046,N,20230221
5838,고양시,고양-화정교통,029B,241313004,원당역,218000095,능곡역,218000520,N,20230221
5839,고양시,고양-화정교통,15,241313005,성사중학교,218001253,신원당600단지,218000858,N,20230221
5840,고양시,고양-명보교통,71,241325002,회차(경유),277104417,가좌동.구종점,219000435,N,20230221
5841,광명시,화영운수,22,213000010,광명종합터미널,213000399,개봉역,116000609,N,20230221
5842,광명시,화영운수,45232,213000011,소하동광명동굴입구,213000403,여의도환승센터(1번승강장),118000513,Y,20230221
5843,광명시,화영운수,45233,213000014,마린월드,224000127,KTX광명역1번출구,213000487,Y,20230221
5844,광명시,화영운수,3001,213000015,KTX광명역6번출구,213000231,원흥아파트,164000131,N,20230221
5845,광명시,화영운수,101,213000016,화영운수차고지,213000048,석수역(중),117000310,N,20230221
5846,광명시,화영운수,2,213000017,은계아란트리,224001093,안양역,208000010,Y,20230221
5847,광명시,화영운수,3002,213000019,KTX광명역6번출구,213000231,인천대학교공과대학,164000376,N,20230221
5848,광명시,화영운수,8507,213000024,오리서원.충현중학교.광휘고등학교,213000106,사당역4번출구,120000059,N,20230221
5849,광명시,화영운수,77,213000026,광명스피돔,213000328,광명동굴,213000411,N,20230221
5850,광명시,화영운수,102,213000027,광명종합터미널,213000399,독산역,117000182,Y,20230221
5851,광명시,광명-진양교통,광명01,241238001,화영운수차고지,213000070,철산리버빌아파트.구일역,213000236,N,20230221
5852,광명시,광명-자경,1,241274001,개운아파트,213000469,석수역1호선,117000321,N,20230221
5853,광명시,광명-자경,44927,241274002,관악역,208000092,KTX광명역7번출구,213000216,N,20230221
5854,광명시,광명-자경,44929,241274004,KTX광명역7번출구,213000216,석수역1호선,117000321,N,20230221
5855,광명시,광명-자경,88,241274006,도고내마을회관,213000028,소하동이마트,213000334,Y,20230221
5856,광명시,광명-자경,99,241274007,소하6.7단지,213000336,광명도덕산캠핑장입구,213000377,Y,20230221
5857,광주시,대원고속,521,204000025,퉁점골,234000050,판교역.낙생육교.현대백화점,206000532,N,20230221
5858,광주시,대원고속,3200,218000005,성사고등학교,218000501,인천공항3층출국장(T2),161000611,N,20230221
5859,광주시,경기고속,20-52,230000176,자석2리.종점,230001460,태평리,237000811,N,20230221
5860,광주시,경기고속,30,234000003,대성리,239000682,현대코아,105000199,N,20230221
5861,광주시,대원고속,32,234000009,광주차고지,234000600,잠실광역환승센터,123000611,N,20230221
5862,광주시,대원고속,1113-1,234000011,동원대학교,234000604,테크노마트앞.강변역(D),104000069,N,20230221
5863,광주시,경기고속,17,234000012,광주차고지,234000600,숭신여자중고교.래미안금광아파트,205000068,Y,20230221
5864,광주시,경기고속,700-2,234000021,오리역,206000040,수원대학교,233000575,N,20230221
5865,광주시,경기고속,720-1,234000024,지역난방공사.신나무실쌍용아파트,203000052,서현역.AK플라자,206000299,N,20230221
5866,광주시,경기고속,720-2,234000026,경기고속차고지,233002341,백현마을8단지,206000626,N,20230221
5867,광주시,대원고속,16,234000034,상산곡동.공영차고지,227000094,일원본동주민센터,122000280,N,20230221
5868,광주시,대원고속,65,234000038,광교차고지,203000254,안양역,208000068,N,20230221
5869,광주시,대원고속,114,234000039,송정동현대아파트,234000950,터미널신둔홈,230000251,N,20230221
5870,광주시,경기고속,119,234000040,오산리종점,228001181,군자역.용마초등학교(중),104000004,Y,20230221
5871,광주시,대원고속,520,234000044,구미동차고지,206000232,강남cc,234000450,N,20230221
5872,광주시,대원고속,660,234000046,광교차고지,203000254,광주터미널,234001048,N,20230221
5873,광주시,경기고속,45016,234000057,광주터미널,234001048,모란역6.7번출구,205000020,N,20230221
5874,광주시,경기고속,1,234000059,광주하남교육청,234000466,전원마을입구,234000924,N,20230221
5875,광주시,대원고속,8,234000070,현대사원아파트,230000047,도지리,230000566,N,20230221
5876,광주시,경기고속,13,234000072,광주터미널,234001178,테크노마트앞.강변역(D),104000069,Y,20230221
5877,광주시,경기고속,500-2,234000075,동원대학교,234000604,무역센터,122000095,N,20230221
5878,광주시,경기고속,111,234000078,여주대하차장,237001239,불교회관,230000181,N,20230221
5879,광주시,대원고속,500-1,234000079,동원대학교,234000604,잠실광역환승센터,123000611,N,20230221
5880,광주시,대원고속,44970,234000082,퇴촌관음리,234000148,테크노마트앞.강변역(D),104000069,N,20230221
5881,광주시,대원고속,12,234000083,이천터미널,230000205,청강문화산업대,230000224,Y,20230221
5882,광주시,대원고속,9,234000095,사송동종점,204000143,중앙주차장,234001231,N,20230221
5883,광주시,경기고속,44959,234000132,보건소.공설운동장,234000259,선동초교앞,234001085,N,20230221
5884,광주시,경기고속,44958,234000150,세광아파트,234000181,대주아파트.종점,234001018,N,20230221
5885,광주시,경기고속,2,234000213,광주차고지,234000600,현산마을,234001032,N,20230221
5886,광주시,대원고속,60,234000316,광주차고지,234000600,수원역.노보텔수원,202000208,Y,20230221
5934,광명시,화영운수,21,213000002,광명돔경륜장.광남문,213000052,가산디지털단지역,117000021,Y,20230221
5935,광명시,화영운수,27,213000003,광명돔경륜장.광남문,213000052,독산역,117000182,Y,20230221
5936,광명시,화영운수,12,213000004,중앙하이츠아파트,213000053,안양역,208000010,Y,20230221
5937,광명시,화영운수,17,213000005,광명동굴,213000411,개봉역,116000609,N,20230221
5938,광명시,화영운수,1,213000006,거모동,224000449,개봉역,116000609,Y,20230221
5939,광명시,화영운수,45231,213000007,중앙하이츠아파트,213000053,여의도환승센터(1번승강장),118000513,Y,20230221
5940,광명시,화영운수,11,213000008,광명돔경륜장.광남문,213000052,안양역,208000010,N,20230221
5941,광명시,화영운수,39,213000009,시흥경찰서,224000473,개봉역,116000609,Y,20230221
5942,가평군,가평교통,18384,239000002,목동터미널,239000272,용수동종점,239000052,N,20230221
5943,가평군,가평교통,14732,239000005,현리터미널,239000687,귀목종점,239000123,N,20230221
5944,가평군,가평교통,43,239000006,현리터미널,239000687,청평터미널,239000738,N,20230221
5945,가평군,가평교통,14763,239000007,현리터미널,239000687,독박골,239000939,N,20230221
5946,가평군,가평교통,45076,239000010,청평터미널,239000738,고재,239000496,N,20230221
5947,가평군,가평교통,45015,239000011,청평터미널,239000738,수리재종점,239000179,N,20230221
5948,가평군,가평교통,80,239000012,현리,239000522,광릉내,222001122,N,20230221
5949,가평군,가평교통,45107,239000013,청평터미널,239000738,수목원.종점,239000749,N,20230221
5950,가평군,가평교통,14642,239000014,현리,239000522,봉수리,239000103,N,20230221
5951,가평군,가평교통,44956,239000016,청평터미널,239000738,송천리,239000534,N,20230221
5952,가평군,가평교통,1330-44,239000024,운악산입구,239000117,청량리역환승센터(1번승강장),105000016,N,20230221
5953,가평군,가평교통,18264,239000027,목동터미널,239000272,백둔리종점,239000031,N,20230221
5954,가평군,가평교통,18354,239000028,목동터미널,239000272,건들레.종점,239000776,N,20230221
5955,가평군,가평교통,26665,239000031,청평터미널,239000738,가평터미널,239000282,N,20230221
5956,가평군,가평교통,45203,239000032,가평터미널,239000282,남이섬종점,239000938,N,20230221
5957,가평군,가평교통,12,239000033,가평터미널,239000282,설악터미널,239000621,N,20230221
5958,가평군,가평교통,45205,239000036,가평터미널,239000282,리버파크,500000208,N,20230221
5959,가평군,가평교통,27030,239000038,현리터미널,239000687,불기종점,239000470,N,20230221
5960,가평군,가평교통,14702,239000040,현리터미널,239000687,대보2리종점,239000143,N,20230221
5961,가평군,가평교통,27061,239000041,현리,239000688,연안산입구,239000151,N,20230221
5962,가평군,가평교통,44946,239000044,설악터미널,239000374,영천벌,239000691,N,20230221
5963,가평군,가평교통,45005,239000045,설악터미널,239000374,묵안리종점,239000399,N,20230221
5964,가평군,가평교통,18295,239000046,목동터미널,239000272,싸리재종점,239000261,N,20230221
5965,가평군,가평교통,60-29,239000047,가평터미널,239000282,두밀리종점,239000014,N,20230221
5966,가평군,가평교통,25934,239000048,가평역,239000822,개곡리종점,239000278,N,20230221
5967,가평군,가평교통,25993,239000058,가평터미널,239000282,금대리,239000754,N,20230221
5968,가평군,가평교통,44977,239000065,설악터미널,239000374,유명산종점,239000418,N,20230221
5969,가평군,가평교통,45066,239000068,설악터미널,239000374,미사리종점,239000348,N,20230221
5970,가평군,가평교통,45036,239000072,설악터미널,239000374,모곡,257000015,N,20230221
5971,가평군,가평교통,45137,239000078,청평터미널,239000738,수목원.종점,239000749,N,20230221
5972,가평군,가평교통,23,239000079,설악터미널,239000374,청평터미널,239000210,N,20230221
5973,가평군,가평교통,10990,239000082,청평터미널,239000738,야밀종점,239000520,N,20230221
5974,가평군,가평교통,45206,239000084,가평터미널,239000607,가평역,239000818,N,20230221
5975,가평군,가평교통,26024,239000101,가평역,239000822,용추종점,239000078,N,20230221
5976,가평군,가평교통,8005,239000104,유명산종점,239000685,현대코아,105000199,N,20230221
5977,가평군,가평교통,1330-2,239000110,가평터미널,239000282,현대코아,105000199,N,20230221
5978,가평군,가평교통,1330-4,239000111,현리터미널,239000687,청량리역환승센터(1번승강장),105000016,N,20230221
5979,가평군,가평교통,15,239000112,가평역,239000822,목동터미널,239000270,N,20230221
5980,가평군,가평교통,18323,239000119,목동터미널,239000272,꽃넘이길종점,239000610,N,20230221
5981,가평군,가평교통,60-19,239000120,가평터미널,239000282,제이정동빌라,239000894,N,20230221
5982,가평군,가평교통,22190,239000121,가평터미널,239000282,제이정동빌라,239000004,N,20230221
5983,가평군,가평교통,41,239000129,현리터미널,239000687,가평터미널,239000282,N,20230221
5984,가평군,가평교통,1330-3,239000135,목동터미널,239000270,청량리역환승센터(1번승강장),105000016,N,20230221
5985,가평군,가평교통,45199,239000137,청평터미널,239000738,청평고등학교,239000710,N,20230221
5986,가평군,가평교통,14824,239000138,현리터미널,239000687,귀목종점,239000123,N,20230221
5987,가평군,가평교통,7000,239000139,가평터미널,239000282,잠실역.롯데월드,123000049,N,20230221
5988,가평군,가평교통,7001,239000140,효정매그놀리아국제병원,239000613,잠실역.롯데월드,123000049,N,20230221
5989,가평군,가평교통,7002,239000141,유명산종점,239000685,잠실역.롯데월드,123000049,N,20230221
5990,가평군,가평교통,45168,239000142,청평터미널,239000738,독박골,239000939,N,20230221
5991,가평군,가평교통,25965,239000143,가평터미널,239000282,금대리,239000310,N,20230221
5992,가평군,가평교통,27089,239000144,현리터미널,239000687,불기종점,239000470,N,20230221
5993,가평군,가평교통,45000,239000145,가평역,239000822,꽃넘이길종점,239000610,N,20230221
5994,가평군,가평교통,44941,239000146,가평역,239000822,백둔리종점,239000031,N,20230221
5995,가평군,가평교통,44972,239000147,가평역,239000822,싸리재종점,239000261,N,20230221
5996,가평군,가평교통,45031,239000148,가평역,239000822,건들레.종점,239000776,N,20230221
5997,가평군,가평교통,45061,239000149,가평역,239000822,용수동종점,239000928,N,20230221
5998,가평군,가평교통,44949,239000153,설악터미널,239000374,청평터미널,239000210,N,20230221
5999,가평군,가평교통,60-30,239000154,가평역,239000822,용수동종점,239000052,N,20230221
6000,고양시,서울여객,85,218000001,고양동종점,218000494,송정역(중),115000634,N,20230221
6001,고양시,서울여객,31048,218000002,고양동종점,218000494,송정역(중),115000634,N,20230221
6002,고양시,고양교통,97,218000006,김포대학차고지(경유),277102333,행신역,218000463,N,20230221
6003,고양시,고양교통,1001,218000007,고양공영차고지(경유),277101631,부천소방서.부천대학사거리,210000011,N,20230221
6004,고양시,명성운수,1500,218000010,교하차고지,229001251,CM충무병원,118000524,N,20230221
6005,고양시,명성운수,1100,218000011,고양공영차고지,219000644,숭례문,101000022,N,20230221
6006,고양시,가온누리엠,M7106,218000012,킨텍스제2전시장(경유),277103703,숭례문,101000022,N,20230221
6007,고양시,고양교통,88A,218000018,고양공영차고지(경유),277101631,백석역.고양종합터미널,219000446,N,20230221
6008,고양시,고양교통,88B,218000019,고양공영차고지(경유),277101631,백석역6번출구,219000015,N,20230221
6009,고양시,명성운수,M7129,218000020,능곡역.능곡시장,218000193,숭례문,101000022,N,20230221
6010,고양시,가온누리엠,M7731,218000105,하이파크시티3.5단지,219000667,공덕역1번출구,113000089,N,20230221
6011,고양시,선진버스,60,218000107,동국로삼거리,219000736,중산마을입구.쌍용아파트.실로암병원,219000175,N,20230221
6012,고양시,명성운수,999,218000111,고양종합운동장.일산서구청,219000450,신원중학교,218001296,N,20230221
6013,고양시,가온누리엠,M7646,218000112,송포초교,219000434,영등포소방서.타임스퀘어,118000511,N,20230221
6014,고양시,서울여객,730,218000116,삼송역현대헤리엇아파트,218000365,디지털미디어시티역2번출구,113000202,N,20230221
6015,고양시,명성운수,75,218000125,대화동,219000412,현대백화점,112000176,Y,20230221
6016,고양시,명성운수,11,219000001,성석동,219000339,행신역,218000463,Y,20230221
6017,고양시,명성운수,871,219000004,성석동,219000339,경방타임스퀘어.신세계백화점,118000032,N,20230221
6018,고양시,명성운수,82,219000005,명성운수종점,218001350,신촌오거리.현대백화점(중),113000416,N,20230221
6019,고양시,명성운수,1082,219000006,명성운수종점,218001350,CM충무병원,118000524,N,20230221
6020,고양시,서울여객,55,219000008,킨텍스제2전시장,219000676,양광교회,111000165,N,20230221
6021,고양시,명성운수,1000,219000013,대화동,219000412,숭례문,101000022,Y,20230221
6022,고양시,명성운수,921,219000015,탄현동종점,219000188,신촌오거리.현대백화점(중),113000416,N,20230221
6023,고양시,명성운수,1200,219000016,탄현동종점,219000188,숭례문,101000022,N,20230221
6024,고양시,명성운수,72,219000021,대화동,219000412,현대백화점,112000176,Y,20230221
6025,고양시,명성운수,870,219000023,대화동,219000412,영등포소방서.타임스퀘어,118000511,N,20230221
6026,고양시,명성운수,3300,219000025,대화동,219000412,인천공항3층출국장(T2),161000611,N,20230221
6027,고양시,대원고속,9700,219000026,킨텍스제2전시장(경유),277103703,양재역.서초문화예술회관(중),121000003,N,20230221
6028,고양시,명성운수,1900,219000027,고양공영차고지,219000644,숭례문,101000022,N,20230221
6029,고양시,명성운수,830,229000017,고양공영차고지,219000644,영등포소방서.타임스퀘어,118000511,N,20230221
6030,고양시,명성운수,66,229000018,교하차고지,229001251,모래내시장.가좌역(중),112000006,Y,20230221
6031,고양시,서울여객,333,229000035,서울여객금촌차고지,229001097,구파발역.롯데몰(고양.파주),111001117,N,20230221
6032,고양시,서울여객,790,229000060,고양동종점,218000494,숭례문,101000022,Y,20230221
6033,고양시,서울여객,850,229000063,고양동종점,218000494,행신역,218000463,Y,20230221
6034,고양시,서울여객,799,229000071,서울여객금촌차고지,229001097,광화문.광화문빌딩,100000034,Y,20230221
6035,고양시,명성운수,7101,229000273,팜스프링아파트,229000564,혜화역.마로니에공원,100000124,N,20230221
5887,광주시,대원고속,11689,234000317,추자가압장앞,234001115,중앙시장,204000073,N,20230221
5888,광주시,경기고속,988-1,234000360,양동역,240001061,여주역,237001007,N,20230221
5889,광주시,경기고속,10,234000446,이천터미널,230001441,태평터미널,237000813,Y,20230221
5890,광주시,경기고속,44954,234000448,이천터미널,230001441,장호원터미널,230000250,N,20230221
5891,광주시,경기고속,21,234000470,신일아파트앞,230000585,이천터미널,230000003,N,20230221
5892,광주시,경기고속,947A,234000495,곤지암역,234001162,상품농협앞,237000720,N,20230221
5893,고양시,고양-명보교통,74,241325004,하이파크시티1단지.고양시립덕이도서관,219000671,주엽역(중),219000189,N,20230221
5894,고양시,고양-명보교통,79,241325005,회차(경유),277104417,두신마을마을회관,219001115,N,20230221
5895,고양시,고양-부광운수,70,241326001,청원네이쳐빌,219000817,마두역(중),219000383,N,20230221
5896,고양시,고양-부광운수,78,241326003,고봉초교.중산고교,219000336,백석역6번출구,219000015,N,20230221
5897,고양시,고양-대덕운수,80,241327001,위시티1단지후문.양일초교,219001031,빛마루.이비에스,219001075,N,20230221
5898,고양시,고양-대덕운수,082A,241327002,풍동고.다솜초교.풍동도서관,219001040,원마운트,219000998,N,20230221
5899,고양시,고양-대덕운수,81,241327003,식사동차고지(경유),277102390,풍산역,219001069,N,20230221
5900,고양시,고양-대덕운수,89,241327005,동문굿모닝힐1차오피스텔,219001012,더샵그라비스타.이마트킨텍스점,219000913,N,20230221
5901,고양시,고양-대덕운수,082B,241327007,풍동고.다솜초교.풍동도서관,219001171,원마운트,219000998,N,20230221
5902,고양시,고양-여산교통,53,241328002,추모공원하늘문,218000770,스타필드후문,218001104,N,20230221
5903,고양시,고양-여산교통,52,241328003,차고지대기(경유),277102936,지축LH8단지(임시),218513610,N,20230221
5904,고양시,고양-여산교통,55,241328004,삼성군인아파트,218000499,푸른마을10단지11동앞,218001212,N,20230221
5905,고양시,고양-여산교통,51,241328005,고양초등학교.소방서,218000953,정식암,218000312,N,20230221
5906,고양시,고양-여산교통,33,241328006,중부대학교,218001189,삼송마을11단지.대학생연합생활관,218001324,N,20230221
5907,고양시,고양-성우교통,97,241331001,식사동,219001081,원당역,218001083,N,20230221
5908,고양시,고양-성우교통,98,241331002,동국대병원정문,219000583,원당역,218001083,N,20230221
5909,고양시,고양-성우교통,99,241331003,위시티1단지후문.양일초교,219001031,원당역,218001083,N,20230221
5910,고양시,고양-보은교통,31,241333001,화정역3번출구,218001359,화정역3호선,218000974,N,20230221
5911,고양시,고양-부광운수,34,241334001,사리현동문아파트,219000991,일산역,219000064,N,20230221
5912,고양시,고양-홍성,40,241352001,신원초교.현대8단지,218001097,삼송리슈빌센트럴파크.삼송16단지,218000664,N,20230221
5913,고양시,고양-홍성,043(원당역),241352002,원흥역7번출구,218001052,리스쇼핑.원당시장,218000116,N,20230221
5914,고양시,고양-홍성,42,241352003,호반22단지정문,218001185,호반22단지정문,218001185,N,20230221
5915,고양시,고양-홍성,43,241352004,원흥역7번출구,218001052,원흥역7번출구,218001052,N,20230221
5916,고양시,고양-홍성,45,241352005,용두사거리,218000561,용두사거리,218000561,N,20230221
5917,고양시,고양-홍성,48,241352006,신원초교.현대8단지,218001097,호반21단지.동산초등학교,218001099,N,20230221
5918,고양시,고양-홍성,075A,241352007,삼송16단지.삼송리슈빌센트럴파크,218000665,디지털미디어시티역,111000220,N,20230221
5919,고양시,고양-홍성,47,241352008,신원마을7단지,218000175,원흥역1번출구.방송통신대,218000697,N,20230221
5920,고양시,고양-홍성,075B,241352009,세원마을입구,218000151,디지털미디어시티역,111000220,N,20230221
5921,고양시,고양-홍성,46,241352010,이케아.롯데아울렛고양점,218001325,동산마을체육공원,218000329,N,20230221
5922,고양시,고양-홍성,041B,241352011,삼송동일스위트2차아파트,218001333,삼송역5번출구,218000284,N,20230221
5923,고양시,고양-홍성,075A(향동),241352012,DMC두산위브더퍼스트,218000356,디지털미디어시티역,111000220,N,20230221
5924,고양시,고양-백마운수,87,241486001,설문동,219000827,밤가시마을,219000112,N,20230221
5925,과천시,과천여객,6,220000012,과천시청,220000054,양재역.양재1동민원분소,121000194,Y,20230221
5926,과천시,과천여객,8,220000022,과천시청,220000054,과천시청,220000053,N,20230221
5927,과천시,과천여객,45139,220000023,과천시청,220000054,과천시청,220000053,N,20230221
5928,과천시,과천여객,7,220000024,과천시청,220000054,과천제이드자이,220000083,N,20230221
5929,과천시,과천-과천운수,1,241329003,과천시문원도서관.문원동버스종점,220000109,과천시문원도서관.문원동버스종점,220000073,N,20230221
5930,과천시,과천-과천운수,2,241329004,과천시문원도서관.문원동버스종점,220000109,과천시문원도서관.문원동버스종점,220000073,N,20230221
5931,과천시,과천-과천운수,3,241329005,과천시청,220000054,갈현초등학교,220000116,N,20230221
5932,과천시,과천-과천운수,5,241329007,과천시청,220000054,과천제이드자이,220000083,N,20230221
5933,광명시,보영운수,G9633,208000066,석수동버스공영차고지(경유),277102421,양재역9번출구,121000970,Y,20230221
6036,고양시,고양교통,96,232000003,식사동차고지(경유),277102500,강화산성서문,169000080,N,20230221
6037,고양시,고양교통,95,232000004,식사동차고지(경유),277102500,이케아.롯데아울렛고양점,218001326,N,20230221
6038,고양시,고양-고양도시관리공사,N001,241210001,백석역3번출구,219000162,세대산전입구,219001009,N,20230221
6039,고양시,고양-고양도시관리공사,N003,241210003,킨텍스,219000673,일산동구청.퀸타운호텔,219000956,N,20230221
6040,고양시,고양-고양도시관리공사,N004,241210004,고봉동행정복지센터,219000077,일산시장,219001143,N,20230221
6041,고양시,고양-고양도시관리공사,N005,241210005,필리핀참전비,218000826,필리핀참전비,218000825,N,20230221
6042,고양시,고양-고양도시관리공사,N006,241210006,지축역,218001179,신원중학교,218001296,N,20230221
6043,고양시,고양-고양도시관리공사,N007,241210007,강선마을13단지,219000531,강선마을13단지,219000531,N,20230221
6044,고양시,고양-하나교통,017A,241227002,백마역,219000044,원당역,218001083,N,20230221
6045,고양시,고양-하나교통,19,241227003,원당역,218001083,우인아파트,218000948,N,20230221
6046,고양시,고양-하나교통,017B,241227004,한울하임,219000516,동국대병원정문,219000583,N,20230221
6047,고양시,고양-관산운수,25,241293001,삼송역8번출구,218001200,종점,218000803,N,20230221
6048,고양시,고양-관산운수,26,241293002,안골삼거리,218000837,삼송역8번출구,218001200,N,20230221
6049,광주시,대원고속,38-84,234001522,광주시축협,234000269,성덕4리응달말,240000742,N,20230221
6050,광주시,대원고속,34-16,234001524,출발(경유),277102748,광주공원앞,234000724,N,20230221
6051,광주시,대원고속,11720,234001526,출발(경유),277102748,광남중학교.광남고등학교.청소년수련관.태전지웰,234001135,N,20230221
6052,광주시,대원고속,912-5,234001540,하동,237000327,프레미엄아울렛,237001218,N,20230221
6053,광주시,대원고속,930-4A,234001542,여주역,237001007,태평터미널,237000813,N,20230221
6054,광주시,대원고속,930-4B,234001543,태평터미널,237000813,여주역,237001007,N,20230221
6055,광주시,경기고속,930-4,234001544,여주역,237001007,태평터미널,237000813,N,20230221
6056,광주시,경기고속,930-8,234001545,여주역,237001007,태평터미널,237000813,N,20230221
6057,광주시,경기고속,981-5,234001548,여주역,237001007,도전1리,237000122,N,20230221
6058,광주시,대원고속,950-3,234001550,여주역,237001007,내양1리종점,237000348,N,20230221
6059,광주시,대원고속,950B,234001551,내양1리종점,237000348,여주역,237001007,N,20230221
6060,광주시,경기고속,981-4,234001553,여주역,237001007,도전1리,237000122,N,20230221
6061,광주시,경기고속,918-7,234001557,여주역,237001007,이편한세상아파트,237001436,N,20230221
6062,광주시,이천시내버스,24-47,234001559,이천역,230001276,지석리입구.반석아르미아파트,230000318,N,20230221
6063,광주시,대원고속,912-4,234001560,하동,237000327,상거동,237000269,N,20230221
6064,광주시,경기고속,14154,234001564,출발(경유),277102748,광주시축협,234000269,N,20230221
6065,광주시,경기고속,44939,234001565,경기광주역,234001173,태전효성해링턴플레이스,234000646,N,20230221
6066,광주시,경기고속,38-26,234001572,수청1리,234000606,퇴촌농협,234000141,N,20230221
6067,광주시,경기고속,38-52,234001573,수청1리,234000606,하남시버스환승공영차고지.검단산입구,227000261,N,20230221
