순번,관할시군,운행업체명,노선번호,노선ID,기점,기점정류장ID,종점,종점정류장ID,저상버스운행유무,데이터기준일자
10591,평택시,평택여객,82,214000054,안중초교앞,214000131,권관2리입구,214000140,Y,20250213
10592,평택시,평택여객,83,214000056,성공회앞,214001380,원정8리,214001233,Y,20250213
10593,평택시,평택여객,84,214000060,안중초교앞,214000131,광덕(종점),214000927,Y,20250213
10594,평택시,평택여객,85,214000067,성공회앞,214001231,홍원1지구(종점),214000986,Y,20250213
10595,평택시,평택여객,86,214000070,성공회앞,214001380,신영2리,214000050,Y,20250213
10596,평택시,평택여객,873,214000155,안중오거리,214001321,한내들퍼스트뷰,214001654,Y,20250213
10540,이천시,이천시내버스,230,230000181,이천터미널,230001441,대흥2리,230000411,Y,20240830
10541,이천시,이천시내버스,220,230000180,이천버스공영차고지,230000344,부발역,230001150,Y,20240830
10597,평택시,평택여객,91,214000081,죽백동차고지,214001328,창내4리,214000156,N,20250213
10598,평택시,평택여객,93,214000080,안중공용터미널,214001479,안중공용터미널,214001462,Y,20250213
10599,평택시,평택여객,98,214000053,죽백동차고지,214001328,해군2함대정문,214001373,Y,20250213
10600,평택시,평택여객,99,214000148,안중초교앞,214000131,기산리마을회관,214001176,Y,20250213
10601,평택시,평택운수,1000,214000244,기남방송,214001320,평택지제역,214002018,Y,20250213
10602,평택시,평택운수,1108,214000021,기남방송,214001320,금노마을,231000076,Y,20250213
10603,평택시,평택운수,1155,214000262,기남방송,214001320,평택지제역,214001327,N,20250213
10604,평택시,평택운수,1183,214000254,죽백초교앞,214001548,평택역.AKPLAZA,214000628,N,20250213
10605,평택시,평택운수,1215,214000005,기남방송,214001320,노양리낚시터,214000362,N,20250213
10606,평택시,평택운수,1220,214000018,e편한세상평택용이.평택남산교회앞,214001302,K6정문.캠프험프리,214000800,Y,20250213
10607,평택시,평택운수,1361,214000245,기남방송,214001320,상리,214000167,Y,20250213
10608,평택시,평택운수,1371,214000019,기남방송,214001320,(임시)광동제약,214001339,Y,20250213
10609,평택시,평택운수,1372,214000020,기남방송,214001320,지제역동문디이스트5단지,214000581,Y,20250213
10610,평택시,평택운수,순환111A,214000256,평택역.AKPLAZA,214000628,평택터미널,214000641,Y,20250213
10611,평택시,평택운수,순환122A,214000267,기남방송,214001320,대추리평화마을,214001327,N,20250213
10612,평택시,평택운수,순환122B,214000269,기남방송,214001320,대추리평화마을,214001327,N,20250213
