연도,시도,지체장애_남,지체장애_여,시각장애_남,시각장애_여,청각장애_남,청각장애_여,언어장애_남,언어장애_여,지적장애_남,지적장애_여,뇌병변장애_남,뇌병변장애_여,자폐성장애_남,자폐성장애_여,정신장애_남,정신장애_여,신장장애_남,신장장애_여,심장장애_남,심장장애_여,호흡기장애_남,호흡기장애_여,간장애_남,간장애_여,안면장애_남,안면장애_여,장루요루장애_남,장루요루장애_여,뇌전증장애_남,뇌전증장애_여
2017,서울 Seoul,104591,80833,25464,16531,25034,20210,2349,903,15762,9892,25068,17219,4624,777,8453,7873,9408,6723,740,414,1585,545,1632,691,218,180,1752,1042,679,561
2017,부산 Busan,49254,33406,10959,7238,9800,7832,989,376,6833,4322,11798,8262,1374,258,4215,3863,3830,2783,324,171,751,247,507,206,138,93,648,372,305,230
2017,대구 Daegu,32803,21874,7195,4901,8143,7581,758,265,5734,3763,7654,5440,923,178,3124,2938,2437,1718,135,95,345,105,423,170,83,59,363,257,169,133
2017,인천 Incheon,43819,26939,8357,5429,8636,7197,956,316,5958,3828,7555,5513,1120,211,2269,2410,2877,2143,140,84,447,186,422,173,82,59,492,307,207,172
2017,광주 Gwangju,17548,14059,4300,2990,4824,4271,398,157,3722,2696,3832,3043,612,136,1454,1552,1290,870,82,49,226,80,244,97,36,27,233,137,142,126
2017,대전 Daejeon,20336,13933,4271,2862,4729,4004,398,157,3557,2516,4165,3358,789,144,1539,1513,1421,1023,83,60,243,76,200,83,55,25,251,144,141,104
2017,울산 Ulsan,15206,9175,2893,2044,4019,2838,243,116,2444,1604,2778,2103,441,83,686,700,945,760,109,70,190,67,217,84,48,23,119,97,48,55
2017,세종 Sejong,3140,2156,627,426,677,623,62,15,588,333,533,402,93,19,220,197,163,122,17,6,33,16,28,19,8,6,44,23,15,12
2017,경기 Gyeonggi,161448,107384,31952,20086,31183,25139,3154,1145,25342,15947,30970,22758,5518,885,9028,9468,11370,8437,839,453,1764,683,2124,862,362,253,2059,1247,741,658
2017,강원 Gangwon,30171,21379,5401,4058,6759,5692,533,213,4697,3365,5439,3877,517,112,1625,1484,1473,1104,88,51,472,111,264,119,50,39,397,231,135,103
2017,충북 Chungbuk,26986,19971,5342,3623,6206,5553,471,206,5849,4037,4950,3839,562,95,1945,1753,1508,1134,97,51,287,90,284,93,52,35,363,211,128,123
2017,충남 Chungnam,37337,27331,7200,4876,8986,7856,706,308,6735,4614,6142,4823,679,132,2746,2499,1858,1292,117,100,468,116,315,123,74,52,461,289,152,116
