C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID
행정구역별,32.97,11140,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Mapo-gu,마포구,%,101
행정구역별,30.52,11150,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Yangcheon-gu,양천구,%,101
행정구역별,25.3,11150,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2023-05-11,Yangcheon-gu,양천구,%,101
행정구역별,27.08,11160,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Gangseo-gu,강서구,%,101
행정구역별,21.12,11160,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Gangseo-gu,강서구,%,101
행정구역별,28.76,11170,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Guro-gu,구로구,%,101
행정구역별,22.09,11170,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Guro-gu,구로구,%,101
행정구역별,33.56,11180,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Geumcheon-gu,금천구,%,101
행정구역별,23.63,11180,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Geumcheon-gu,금천구,%,101
행정구역별,43.14,11190,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Yeongdeungpo-gu,영등포구,%,101
행정구역별,37.43,11190,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Yeongdeungpo-gu,영등포구,%,101
행정구역별,31.86,11200,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Dongjak-gu,동작구,%,101
행정구역별,27.42,11200,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Dongjak-gu,동작구,%,101
행정구역별,26.03,11210,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Gwanak-gu,관악구,%,101
행정구역별,19.87,11210,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Gwanak-gu,관악구,%,101
행정구역별,64.07,11220,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Seocho-gu,서초구,%,101
