C1_OBJ_NM,DT,C1,PRD_SE,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID,UNIT_NM_ENG
행정구역별,288113,11090,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Gangbuk-gu,강북구,명,101,
행정구역별,23.8,11090,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Gangbuk-gu,강북구,%,101, 
행정구역별,70374,11100,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Dobong-gu,도봉구,명,101,
행정구역별,306948,11100,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Dobong-gu,도봉구,명,101,
행정구역별,22.9,11100,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Dobong-gu,도봉구,%,101, 
행정구역별,96309,11110,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Nowon-gu,노원구,명,101,
행정구역별,498213,11110,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Nowon-gu,노원구,명,101,
행정구역별,19.3,11110,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Nowon-gu,노원구,%,101, 
행정구역별,93565,11120,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Eunpyeong-gu,은평구,명,101,
행정구역별,466770,11120,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Eunpyeong-gu,은평구,명,101,
행정구역별,20,11120,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Eunpyeong-gu,은평구,%,101, 
행정구역별,57588,11130,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Seodaemun-gu,서대문구,명,101,
행정구역별,306231,11130,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Seodaemun-gu,서대문구,명,101,
행정구역별,18.8,11130,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Seodaemun-gu,서대문구,%,101, 
행정구역별,57504,11140,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Mapo-gu,마포구,명,101,
행정구역별,363697,11140,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Mapo-gu,마포구,명,101,
행정구역별,15.8,11140,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Mapo-gu,마포구,%,101, 
행정구역별,76126,11150,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Yangcheon-gu,양천구,명,101,
행정구역별,436028,11150,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Yangcheon-gu,양천구,명,101,
행정구역별,17.5,11150,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Yangcheon-gu,양천구,%,101, 
행정구역별,101808,11160,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Gangseo-gu,강서구,명,101,
