관할시군,total_routes,low_floor_routes,low_floor_route_ratio,city,total_pop,disabled_pop,elderly_pop,elderly_rate,disabled_rate,vulnerable_rate,fiscal_rate
가평군,58,0,0.0,가평군,62302.0,5064,18713.0,30.035953901961417,8.128149979133896,38.164103881095315,20.590000000000003
고양시,569,203,35.67662565905096,고양시,1074907.0,42149,173057.0,16.09971839424248,3.921176436659171,20.02089483090165,35.120000000000005
과천시,40,20,50.0,과천시,81000.0,2280,11771.0,14.5320987654321,2.814814814814815,17.346913580246913,49.205
광명시,51,32,62.74509803921568,광명시,280197.0,12289,46870.0,16.727516711456584,4.3858428177318105,21.11335952918839,38.995000000000005
광주시,360,27,7.5,광주시,391377.0,17452,64032.0,16.36069569749883,4.459127644189618,20.819823341688448,38.025
구리시,207,38,18.357487922705317,구리시,187093.0,8522,31009.0,16.574110201878213,4.554953953381474,21.129064155259684,32.475
군포시,86,45,52.32558139534884,군포시,261229.0,11654,43569.0,16.678469848294025,4.461219849251041,21.139689697545066,33.945
김포시,116,15,12.93103448275862,김포시,486172.0,18676,71702.0,14.748278387072888,3.8414388323474,18.589717219420287,39.295
남양주시,528,86,16.28787878787879,남양주시,732265.0,33036,121931.0,16.651212334332516,4.511481499184038,21.162693833516556,31.549999999999997
동두천시,141,7,4.964539007092199,동두천시,88626.0,6285,21372.0,24.114819578904612,7.091598402274728,31.206417981179335,14.745000000000001
부천시,188,112,59.57446808510638,부천시,779968.0,37303,134331.0,17.222629646344465,4.782632107983917,22.005261754328384,32.965
성남시,112,18,16.071428571428573,성남시,919747.0,35781,152855.0,16.61924420519991,3.890308965400268,20.509553170600174,61.47
수원시,241,127,52.69709543568465,수원시,1197257.0,44287,157336.0,13.141372320228657,3.6990387193392897,16.840411039567947,49.165
시흥시,120,5,4.166666666666666,시흥시,519715.0,22327,59745.0,11.495723617752038,4.296008389213319,15.791732006965356,40.62
안산시,219,27,12.32876712328767,안산시,629308.0,33004,87389.0,13.886522974441768,5.244490773993021,19.13101374843479,38.239999999999995
안성시,154,80,51.94805194805194,안성시,189034.0,11154,38191.0,20.20324386089275,5.9005258313319295,26.103769692224677,31.18
안양시,234,66,28.205128205128204,안양시,544660.0,21330,90026.0,16.52884368229721,3.9162046047075236,20.445048287004735,43.265
양주시,80,7,8.75,양주시,268026.0,13641,46170.0,17.22594076694052,5.089431622305299,22.31537238924582,28.09
양평군,470,72,15.319148936170212,양평군,125238.0,8200,36824.0,29.4032162762101,6.547533496223192,35.95074977243329,21.049999999999997
여주시,2,0,0.0,여주시,114412.0,7500,28895.0,25.255217984127537,6.555256441631998,31.810474425759537,24.65
연천군,81,0,0.0,연천군,41584.0,3412,12882.0,30.978260869565215,8.205078876490958,39.18333974605617,19.57
오산시,93,25,26.881720430107524,오산시,229656.0,9014,26964.0,11.741038771031457,3.925000870867733,15.666039641899188,34.82
용인시,256,8,3.125,용인시,1075566.0,37340,165767.0,15.412071411703234,3.471660502470327,18.88373191417356,53.345
의왕시,43,22,51.16279069767442,의왕시,158870.0,6512,26477.0,16.665827406055264,4.09894882608422,20.764776232139486,38.0
의정부시,129,24,18.6046511627907,의정부시,464213.0,22403,82104.0,17.686708472188414,4.826017367027636,22.51272583921605,25.285
이천시,561,157,27.98573975044563,이천시,222098.0,10849,36905.0,16.61653864510261,4.884780592351124,21.501319237453735,52.42
파주시,193,64,33.160621761658035,파주시,497753.0,22516,78257.0,15.722054914787053,4.523528738149243,20.245583652936297,36.254999999999995
평택시,466,131,28.11158798283262,평택시,591022.0,25870,77785.0,13.161100602008046,4.377163625042722,17.53826422705077,46.480000000000004
포천시,136,16,11.76470588235294,포천시,143323.0,10195,34863.0,24.324776902520878,7.113303517230311,31.43808041975119,25.79
하남시,72,46,63.888888888888886,하남시,329861.0,11957,47583.0,14.425166964266767,3.6248601683739516,18.050027132640718,51.989999999999995
화성시,425,130,30.58823529411765,화성시,944342.0,31748,97343.0,10.30802399977974,3.3619176103572643,13.669941610137004,61.08
